Jun 11 2021 23:47:46 FW00 : %ASA-4-400010: IPS:2000 ICMP Echo Reply 155.45.129.14 to 51.130.22.93 on interface GigabitEthernet0/3	 Anomaly
Jun 11 2021 23:55:33 FW03 : %ASA-4-400014: IPS:2004 ICMP Echo Request 134.180.206.93 to 30.198.32.35 on interface GigabitEthernet0/1	 Anomaly
Jun 11 2021 23:55:34 FW02 : %ASA-4-400047: IPS:6155 mountd (mount daemon) Portmap Request 183.27.170.2 to 202.39.246.217 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:55:34 FW16 : %ASA-6-109005: Authentication succeeded for user user14 from 172.29.220.123/27876 to 42.41.25.129/20572 on interface GigabitEthernet0/2.	 Not anomaly
Jun 11 2021 23:55:34 FW03 : %ASA-4-401001: Shuns cleared	 Not anomaly
Jun 11 2021 23:55:34 FW03 : %ASA-4-411001: Line protocol on interface GigabitEthernet0/1 changed state to up	 Anomaly
Jun 11 2021 23:55:34 FW23 : %ASA-3-212003: Unable to receive an SNMP request on interface GigabitEthernet0/2 , error code = Not responding , will try again.	 Anomaly
Jun 11 2021 23:55:34 FW11 : %ASA-4-400045: IPS:6153 ypupdated (YP update daemon) Portmap Request 8.172.79.41 to 173.177.8.34 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:55:35 FW20 : %ASA-1-105003: (Primary) Monitoring on interface GigabitEthernet0/1 waiting	 Not anomaly
Jun 11 2021 23:55:35 FW06 : %ASA-6-109001: Auth start for user user16 from 192.168.21.117/38187 to 17.70.160.160/35693	 Not anomaly
Jun 11 2021 23:55:35 FW00 : %ASA-6-302003: Built H245 connection for foreign_address 28.5.158.6/59504 local_address 10.75.209.117 /52695	 Anomaly
Jun 11 2021 23:55:35 FW21 : %ASA-4-400040: IPS:6102 RPC Dump 69.15.237.32 to 125.48.91.225 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:55:36 FW22 : %ASA-4-400004: IPS:1004 IP options-Loose Source Route 167.2.165.116 to 5.133.126.156 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:55:36 FW16 : %ASA-5-713155: DNS lookup for Primary VPN Server vpn_concentrator successfully resolved after a previous failure. Resetting any Backup Server init.	 Not anomaly
Jun 11 2021 23:55:36 FW20 : %ASA-5-611103: User logged out: Uname: user9	 Not anomaly
Jun 11 2021 23:55:36 FW08 : %ASA-3-319001: Acknowledge for arp update for IP address 212.94.0.177 not received.	 Not anomaly
Jun 11 2021 23:55:36 FW05 : %ASA-5-718016: Received HELLO response from 115.54.180.116	 Not anomaly
Jun 11 2021 23:55:36 FW25 : %ASA-4-400020: IPS:2010 ICMP Information Reply 69.160.188.235 to 186.104.18.71 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:55:37 FW19 : %ASA-3-304003: URL Server 153.49.94.85 timed out URL http://www.simpson.info/	 Anomaly
Jun 11 2021 23:55:37 FW17 : %ASA-7-718021: Sent KEEPALIVE response to 22.17.70.128	 Not anomaly
Jun 11 2021 23:55:37 FW11 : %ASA-7-718023: Received KEEPALIVE response from 129.171.72.109	 Not anomaly
Jun 11 2021 23:55:37 FW23 : %ASA-4-400045: IPS:6153 ypupdated (YP update daemon) Portmap Request 45.185.107.164 to 200.148.161.137 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:55:38 FW03 : %ASA-4-401001: Shuns cleared	 Not anomaly
Jun 11 2021 23:55:38 FW25 : %ASA-7-715041: Received keep-alive of type keepalive_type , not the negotiated type	 Not anomaly
Jun 11 2021 23:55:38 FW10 : %ASA-4-400045: IPS:6153 ypupdated (YP update daemon) Portmap Request 114.13.2.30 to 57.113.121.214 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:55:38 FW14 : %ASA-4-400040: IPS:6102 RPC Dump 40.135.161.168 to 40.187.99.192 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:55:38 FW21 : %ASA-4-411004: Configuration status on interface GigabitEthernet0/3 changed state to up	 Not anomaly
Jun 11 2021 23:55:38 FW08 : %ASA-4-400036: IPS:6052 DNS Zone Transfer from High Port 13.226.245.124 to 17.86.171.148 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:55:39 FW03 : %ASA-6-302003: Built H245 connection for foreign_address 200.219.218.220/16492 local_address 172.25.33.49 /8551	 Anomaly
Jun 11 2021 23:55:39 FW15 : %ASA-3-710003: UDP access denied by ACL from 177.58.20.251/39462 to GigabitEthernet0/2:160.5.68.116/NTP	 Not anomaly
Jun 11 2021 23:55:39 FW04 : %ASA-5-507001: Terminating TCP-Proxy connection from GigabitEthernet0/5:87.20.217.34/1265 to GigabitEthernet0/2:137.228.187.166/2143 - reassembly limit of 156000 bytes exceeded	 Not anomaly
Jun 11 2021 23:55:40 FW00 : %ASA-1-105003: (Primary) Monitoring on interface GigabitEthernet0/5 waiting	 Not anomaly
Jun 11 2021 23:55:40 FW13 : %ASA-5-713155: DNS lookup for Primary VPN Server vpn_concentrator successfully resolved after a previous failure. Resetting any Backup Server init.	 Not anomaly
Jun 11 2021 23:55:40 FW12 : %ASA-3-319001: Acknowledge for arp update for IP address 17.87.248.83 not received.	 Not anomaly
Jun 11 2021 23:55:40 FW08 : %ASA-4-400014: IPS:2004 ICMP Echo Request 107.14.38.224 to 210.77.242.35 on interface GigabitEthernet0/2	 Anomaly
Jun 11 2021 23:55:40 FW19 : %ASA-6-303002: FTP connection from GigabitEthernet0/1:111.38.211.203/52114 to GigabitEthernet0/2: 196.39.179.7/21760 , user user17 action file filename	 Anomaly
Jun 11 2021 23:55:41 FW10 : %ASA-1-101001: (Primary) Failover cable OK.	 Not anomaly
Jun 11 2021 23:55:41 FW08 : %ASA-6-605005: Login permitted from 97.73.255.223/42400 to GigabitEthernet0/2:174.150.11.70/NTP for user user13	 Anomaly
Jun 11 2021 23:55:41 FW03 : %ASA-5-713155: DNS lookup for Primary VPN Server vpn_concentrator successfully resolved after a previous failure. Resetting any Backup Server init.	 Not anomaly
Jun 11 2021 23:55:41 FW23 : %ASA-4-411001: Line protocol on interface GigabitEthernet0/5 changed state to up	 Anomaly
Jun 11 2021 23:55:41 FW23 : %ASA-7-713164: The Firewall Server has requested a list of active user sessions	 Not anomaly
Jun 11 2021 23:55:41 FW20 : %ASA-6-314004: RTSP client GigabitEthernet0/5: 16.61.45.241 accessed RTSP URL https://www.rose.com/	 Not anomaly
Jun 11 2021 23:55:41 FW07 : %ASA-6-303002: FTP connection from GigabitEthernet0/2:203.97.103.55/47822 to GigabitEthernet0/5: 62.123.8.235/62539 , user user15 action file filename	 Anomaly
Jun 11 2021 23:55:42 FW08 : %ASA-3-304003: URL Server 5.218.11.26 timed out URL https://www.buchanan-jones.info/	 Anomaly
Jun 11 2021 23:55:42 FW02 : %ASA-7-713164: The Firewall Server has requested a list of active user sessions	 Not anomaly
Jun 11 2021 23:55:42 FW07 : %ASA-1-106021: Deny protocol reverse path check from 72.245.122.5 to 70.46.201.199 on interface GigabitEthernet0/5.	 Not anomaly
Jun 11 2021 23:55:42 FW14 : %ASA-6-303002: FTP connection from GigabitEthernet0/4:197.120.96.160/12683 to GigabitEthernet0/0: 203.160.218.212/7384 , user user3 action file filename	 Anomaly
Jun 11 2021 23:55:43 FW08 : %ASA-2-201003: Embryonic limit exceeded 748/500 for 212.65.156.81/48860 8.8.8.8 192.168.18.170/19219 on interface GigabitEthernet0/0.	 Not anomaly
Jun 11 2021 23:55:43 FW17 : %ASA-3-319001: Acknowledge for arp update for IP address 68.147.120.191 not received.	 Not anomaly
Jun 11 2021 23:55:43 FW22 : %ASA-4-507002: Data copy in proxy-mode exceeded the buffer limit	 Anomaly
Jun 11 2021 23:55:43 FW20 : %ASA-4-400004: IPS:1004 IP options-Loose Source Route 207.89.220.24 to 34.226.180.80 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:55:44 FW05 : %ASA-4-400030: IPS:3154 FTP Improper Port Specified from 209.230.59.194 to 97.2.149.98 on interface GigabitEthernet0/2	 Anomaly
Jun 11 2021 23:55:44 FW14 : %ASA-7-710002: UDP access permitted from 204.134.144.89/21338 to GigabitEthernet0/1:75.47.126.85/SMTP	 Not anomaly
Jun 11 2021 23:55:44 FW17 : %ASA-3-319001: Acknowledge for arp update for IP address 206.178.229.19 not received.	 Not anomaly
Jun 11 2021 23:55:44 FW10 : %ASA-1-104500: (Secondary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:55:44 FW21 : %ASA-4-400042: IPS:6150 ypserv (YP server daemon) Portmap Request 34.192.42.24 to 148.132.68.99 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:55:45 FW15 : %ASA-4-401001: Shuns cleared	 Not anomaly
Jun 11 2021 23:55:45 FW05 : %ASA-6-302033: Pre-allocated H323 GUP Connection for faddr GigabitEthernet0/0: 132.124.136.87/43305 to laddr GigabitEthernet0/4: 192.168.64.254/28952	 Not anomaly
Jun 11 2021 23:55:45 FW24 : %ASA-4-411004: Configuration status on interface GigabitEthernet0/2 changed state to up	 Not anomaly
Jun 11 2021 23:55:45 FW16 : %ASA-4-400047: IPS:6155 mountd (mount daemon) Portmap Request 42.216.9.238 to 139.182.215.5 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:55:45 FW03 : %ASA-4-400004: IPS:1004 IP options-Loose Source Route 199.64.92.206 to 28.224.234.171 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:55:46 FW00 : %ASA-6-109001: Auth start for user user6 from 172.20.63.39/54807 to 162.51.35.157/41308	 Not anomaly
Jun 11 2021 23:55:46 FW20 : %ASA-4-400022: IPS:2012 ICMP Address Mask Reply 72.122.51.44 to 210.4.110.118 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:55:46 FW10 : %ASA-4-400017: IPS:2007 ICMP Timestamp Request 178.174.226.239 to 53.229.147.168 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:55:47 FW06 : %ASA-4-400014: IPS:2004 ICMP Echo Request 93.12.223.204 to 179.134.14.84 on interface GigabitEthernet0/1	 Anomaly
Jun 11 2021 23:55:47 FW22 : %ASA-1-101001: (Primary) Failover cable OK.	 Not anomaly
Jun 11 2021 23:55:47 FW13 : %ASA-6-611101: User authentication succeeded: IP, 84.30.76.236 : Uname: user16	 Not anomaly
Jun 11 2021 23:55:47 FW00 : %ASA-7-710002: UDP access permitted from 55.47.104.12/57400 to GigabitEthernet0/4:62.185.154.48/DNS	 Not anomaly
Jun 11 2021 23:55:48 FW21 : %ASA-7-715041: Received keep-alive of type keepalive_type , not the negotiated type	 Not anomaly
Jun 11 2021 23:55:48 FW13 : %ASA-4-400034: IPS:6050 DNS HINFO Request 202.175.113.73 to 179.154.167.26 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:55:48 FW08 : %ASA-4-400022: IPS:2012 ICMP Address Mask Reply 220.85.137.175 to 162.86.219.252 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:55:48 FW04 : %ASA-4-400020: IPS:2010 ICMP Information Reply 92.171.14.154 to 175.111.101.9 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:55:49 FW25 : %ASA-4-400047: IPS:6155 mountd (mount daemon) Portmap Request 144.143.160.49 to 70.79.5.40 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:55:49 FW25 : %ASA-4-400042: IPS:6150 ypserv (YP server daemon) Portmap Request 3.94.174.70 to 110.245.33.194 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:55:49 FW08 : %ASA-4-400045: IPS:6153 ypupdated (YP update daemon) Portmap Request 196.161.62.47 to 12.47.20.164 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:55:50 FW25 : %ASA-3-318107: OSPF is enabled on GigabitEthernet0/5 during idb initialization	 Not anomaly
Jun 11 2021 23:55:50 FW02 : %ASA-1-104502: (Primary) Becoming Backup unit failed.	 Not anomaly
Jun 11 2021 23:55:50 FW19 : %ASA-6-109005: Authentication succeeded for user user9 from 10.203.80.127/42906 to 170.193.23.212/44473 on interface GigabitEthernet0/0.	 Not anomaly
Jun 11 2021 23:55:50 FW17 : %ASA-6-605005: Login permitted from 92.111.27.187/60400 to GigabitEthernet0/2:61.190.80.52/DHCP for user user19	 Anomaly
Jun 11 2021 23:55:50 FW19 : %ASA-7-713164: The Firewall Server has requested a list of active user sessions	 Not anomaly
Jun 11 2021 23:55:50 FW21 : %ASA-4-400046: IPS:6154 ypxfrd (YP transfer daemon) Portmap Request 196.251.253.229 to 79.160.255.187 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:55:51 FW25 : %ASA-4-400039: IPS:6101 RPC Port Unregistration 108.232.135.227 to 205.26.238.145 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:55:51 FW03 : %ASA-4-400036: IPS:6052 DNS Zone Transfer from High Port 209.111.0.228 to 189.45.122.62 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:55:51 FW08 : %ASA-4-411004: Configuration status on interface GigabitEthernet0/3 changed state to up	 Not anomaly
Jun 11 2021 23:55:51 FW05 : %ASA-4-400034: IPS:6050 DNS HINFO Request 42.108.73.222 to 29.243.79.248 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:55:52 FW14 : %ASA-3-318109: OSPFv3 has received an unexpected message	 Not anomaly
Jun 11 2021 23:55:52 FW16 : %ASA-4-400042: IPS:6150 ypserv (YP server daemon) Portmap Request 218.111.242.184 to 74.252.143.188 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:55:52 FW25 : %ASA-4-400022: IPS:2012 ICMP Address Mask Reply 201.58.130.189 to 145.135.238.114 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:55:52 FW20 : %ASA-6-302033: Pre-allocated H323 GUP Connection for faddr GigabitEthernet0/1: 18.212.190.204/53761 to laddr GigabitEthernet0/4: 10.175.253.237/33314	 Not anomaly
Jun 11 2021 23:55:53 FW03 : %ASA-4-733100: Bad pkts drop rate 1 exceeded. Current burst rate is 1 per second, max configured rate is 400 ; Current average rate is 760 per second, max configured rate is 100 ; Cumulative total count is 1938933	 Anomaly
Jun 11 2021 23:55:53 FW12 : %ASA-4-400005: IPS:1005 IP options-SATNET ID 18.35.108.5 to 50.164.146.145 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:55:53 FW12 : %ASA-4-400045: IPS:6153 ypupdated (YP update daemon) Portmap Request 90.201.206.48 to 65.219.186.32 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:55:53 FW12 : %ASA-4-400022: IPS:2012 ICMP Address Mask Reply 9.163.65.121 to 176.145.48.21 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:55:54 FW07 : %ASA-1-101001: (Primary) Failover cable OK.	 Not anomaly
Jun 11 2021 23:55:54 FW07 : %ASA-7-715041: Received keep-alive of type keepalive_type , not the negotiated type	 Not anomaly
Jun 11 2021 23:55:54 FW25 : %ASA-7-718021: Sent KEEPALIVE response to 189.119.131.228	 Not anomaly
Jun 11 2021 23:55:54 FW00 : %ASA-7-713052: User user13 authenticated.	 Not anomaly
Jun 11 2021 23:55:54 FW13 : %ASA-1-104500: (Primary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:55:54 FW03 : %ASA-3-319001: Acknowledge for arp update for IP address 32.0.19.167 not received.	 Not anomaly
Jun 11 2021 23:55:54 FW03 : %ASA-4-716022: Unable to connect to proxy server.	 Not anomaly
Jun 11 2021 23:55:54 FW10 : %ASA-4-400046: IPS:6154 ypxfrd (YP transfer daemon) Portmap Request 11.89.83.80 to 144.38.179.182 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:55:54 FW12 : %ASA-5-713155: DNS lookup for Primary VPN Server vpn_concentrator successfully resolved after a previous failure. Resetting any Backup Server init.	 Not anomaly
Jun 11 2021 23:55:54 FW21 : %ASA-6-302033: Pre-allocated H323 GUP Connection for faddr GigabitEthernet0/1: 221.80.39.57/53834 to laddr GigabitEthernet0/2: 192.168.36.40/33827	 Not anomaly
Jun 11 2021 23:55:55 FW00 : %ASA-3-318107: OSPF is enabled on GigabitEthernet0/1 during idb initialization	 Not anomaly
Jun 11 2021 23:55:55 FW19 : %ASA-4-400015: IPS:2005 ICMP Time Exceeded for a Datagram 71.155.12.219 to 128.60.238.155 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:55:55 FW22 : %ASA-4-400027: IPS:3041 TCP SYN+FIN flags from 207.148.255.47 to 63.144.128.41 on interface GigabitEthernet0/5	 Anomaly
Jun 11 2021 23:55:55 FW09 : %ASA-1-101001: (Primary) Failover cable OK.	 Not anomaly
Jun 11 2021 23:55:55 FW07 : %ASA-4-400010: IPS:2000 ICMP Echo Reply 176.248.94.16 to 84.63.211.75 on interface GigabitEthernet0/5	 Anomaly
Jun 11 2021 23:55:56 FW00 : %ASA-5-718010: Sent HELLO response to 100.224.55.123	 Not anomaly
Jun 11 2021 23:55:56 FW07 : %ASA-4-400046: IPS:6154 ypxfrd (YP transfer daemon) Portmap Request 11.247.10.51 to 163.199.65.243 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:55:56 FW02 : %ASA-3-318107: OSPF is enabled on GigabitEthernet0/5 during idb initialization	 Not anomaly
Jun 11 2021 23:55:56 FW15 : %ASA-4-733100: Interface drop rate 1 exceeded. Current burst rate is 1 per second, max configured rate is 8000 ; Current average rate is 2040 per second, max configured rate is 2000 ; Cumulative total count is 3930654	 Anomaly
Jun 11 2021 23:55:56 FW11 : %ASA-3-318107: OSPF is enabled on GigabitEthernet0/3 during idb initialization	 Not anomaly
Jun 11 2021 23:55:56 FW01 : %ASA-4-400050: IPS:6190 statd Buffer Overflow from 194.163.116.73 to 69.160.71.15 on interface GigabitEthernet0/2	 Anomaly
Jun 11 2021 23:55:57 FW11 : %ASA-5-713155: DNS lookup for Primary VPN Server vpn_concentrator successfully resolved after a previous failure. Resetting any Backup Server init.	 Not anomaly
Jun 11 2021 23:55:57 FW18 : %ASA-1-104502: (Primary) Becoming Backup unit failed.	 Not anomaly
Jun 11 2021 23:55:57 FW13 : %ASA-4-400036: IPS:6052 DNS Zone Transfer from High Port 211.110.245.131 to 6.129.219.56 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:55:57 FW11 : %ASA-3-319001: Acknowledge for arp update for IP address 151.91.36.152 not received.	 Not anomaly
Jun 11 2021 23:55:57 FW11 : %ASA-7-713164: The Firewall Server has requested a list of active user sessions	 Not anomaly
Jun 11 2021 23:55:57 FW24 : %ASA-4-400021: IPS:2011 ICMP Address Mask Request 52.146.187.85 to 34.133.144.206 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:55:57 FW07 : %ASA-4-400005: IPS:1005 IP options-SATNET ID 41.184.201.125 to 202.216.8.79 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:55:58 FW01 : %ASA-6-611101: User authentication succeeded: IP, 133.172.205.40 : Uname: user10	 Not anomaly
Jun 11 2021 23:55:58 FW23 : %ASA-2-201003: Embryonic limit exceeded 748/500 for 201.232.68.52/19168 8.8.8.8 172.21.27.44/2214 on interface GigabitEthernet0/2.	 Not anomaly
Jun 11 2021 23:55:58 FW03 : %ASA-4-400047: IPS:6155 mountd (mount daemon) Portmap Request 135.251.17.114 to 1.176.93.101 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:55:59 FW02 : %ASA-4-411004: Configuration status on interface GigabitEthernet0/3 changed state to up	 Not anomaly
Jun 11 2021 23:55:59 FW10 : %ASA-4-400014: IPS:2004 ICMP Echo Request 34.216.152.203 to 96.42.51.105 on interface GigabitEthernet0/5	 Anomaly
Jun 11 2021 23:55:59 FW19 : %ASA-4-405001: Received ARP response collision from 18.225.172.89/82:94:af:a6:2a:6c on interface GigabitEthernet0/4 with existing ARP entry 83.169.175.134/0c:e7:60:72:0f:90.	 Anomaly
Jun 11 2021 23:56:00 FW23 : %ASA-1-105003: (Primary) Monitoring on interface GigabitEthernet0/1 waiting	 Not anomaly
Jun 11 2021 23:56:00 FW16 : %ASA-7-718023: Received KEEPALIVE response from 135.138.235.179	 Not anomaly
Jun 11 2021 23:56:00 FW14 : %ASA-4-400005: IPS:1005 IP options-SATNET ID 156.128.75.126 to 121.213.72.206 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:56:00 FW04 : %ASA-4-400014: IPS:2004 ICMP Echo Request 13.158.63.79 to 141.211.175.78 on interface GigabitEthernet0/5	 Anomaly
Jun 11 2021 23:56:00 FW17 : %ASA-4-400037: IPS:6053 DNS Request for All Records 180.114.45.194 to 200.245.167.23 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:56:01 FW14 : %ASA-4-400016: IPS:2006 ICMP Parameter Problem on Datagram 99.227.109.165 to 129.212.22.237 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:56:01 FW00 : %ASA-5-502111: New group policy added: name: acl_int Type: internal	 Not anomaly
Jun 11 2021 23:56:01 FW10 : %ASA-6-611101: User authentication succeeded: IP, 171.189.230.243 : Uname: user7	 Not anomaly
Jun 11 2021 23:56:01 FW05 : %ASA-4-400042: IPS:6150 ypserv (YP server daemon) Portmap Request 22.43.92.94 to 124.13.11.192 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:56:02 FW04 : %ASA-4-400021: IPS:2011 ICMP Address Mask Request 215.140.188.175 to 196.46.86.243 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:56:02 FW21 : %ASA-3-318107: OSPF is enabled on GigabitEthernet0/0 during idb initialization	 Not anomaly
Jun 11 2021 23:56:02 FW23 : %ASA-1-101001: (Primary) Failover cable OK.	 Not anomaly
Jun 11 2021 23:56:02 FW25 : %ASA-3-318109: OSPFv3 has received an unexpected message	 Not anomaly
Jun 11 2021 23:56:02 FW04 : %ASA-5-507001: Terminating TCP-Proxy connection from GigabitEthernet0/2:49.112.119.39/30806 to GigabitEthernet0/5:84.201.140.65/31864 - reassembly limit of 156000 bytes exceeded	 Not anomaly
Jun 11 2021 23:56:02 FW25 : %ASA-4-411004: Configuration status on interface GigabitEthernet0/4 changed state to up	 Not anomaly
Jun 11 2021 23:56:02 FW06 : %ASA-1-104502: (Primary) Becoming Backup unit failed.	 Not anomaly
Jun 11 2021 23:56:02 FW09 : %ASA-4-400005: IPS:1005 IP options-SATNET ID 209.36.18.75 to 200.230.197.244 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:56:03 FW13 : %ASA-3-212003: Unable to receive an SNMP request on interface GigabitEthernet0/5 , error code = Not responding , will try again.	 Anomaly
Jun 11 2021 23:56:03 FW21 : %ASA-4-400000: IPS:1000 IP options-Bad Option List from 1.217.181.41 to 63.170.83.87 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:56:03 FW05 : %ASA-7-713164: The Firewall Server has requested a list of active user sessions	 Not anomaly
Jun 11 2021 23:56:03 FW23 : %ASA-4-400049: IPS:6180 rexd (remote execution daemon) Attempt 214.188.83.149 to 56.95.103.101 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:56:03 FW18 : %ASA-4-716022: Unable to connect to proxy server.	 Not anomaly
Jun 11 2021 23:56:03 FW15 : %ASA-4-400049: IPS:6180 rexd (remote execution daemon) Attempt 154.141.100.137 to 22.160.109.251 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:56:04 FW24 : %ASA-4-400045: IPS:6153 ypupdated (YP update daemon) Portmap Request 176.106.147.55 to 76.176.169.219 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:56:04 FW01 : %ASA-7-718023: Received KEEPALIVE response from 132.251.127.199	 Not anomaly
Jun 11 2021 23:56:04 FW18 : %ASA-4-400014: IPS:2004 ICMP Echo Request 15.151.38.83 to 86.83.137.145 on interface GigabitEthernet0/0	 Anomaly
Jun 11 2021 23:56:05 FW01 : %ASA-3-318109: OSPFv3 has received an unexpected message	 Not anomaly
Jun 11 2021 23:56:05 FW20 : %ASA-4-733105: TD_SYSLOG_TCP_INTERCEPT_BURST_RATE_EXCEED	 Not anomaly
Jun 11 2021 23:56:05 FW08 : %ASA-1-104500: (Primary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:56:05 FW15 : %ASA-5-718010: Sent HELLO response to 31.64.209.228	 Not anomaly
Jun 11 2021 23:56:05 FW06 : %ASA-4-733105: TD_SYSLOG_TCP_INTERCEPT_BURST_RATE_EXCEED	 Not anomaly
Jun 11 2021 23:56:05 FW05 : %ASA-4-400045: IPS:6153 ypupdated (YP update daemon) Portmap Request 117.172.79.230 to 217.223.85.77 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:56:05 FW03 : %ASA-4-401001: Shuns cleared	 Not anomaly
Jun 11 2021 23:56:05 FW04 : %ASA-4-400020: IPS:2010 ICMP Information Reply 100.236.23.174 to 213.168.192.93 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:56:05 FW15 : %ASA-7-710005: SCTP request discarded from 219.156.50.158/56037 to GigabitEthernet0/0:125.147.210.157/DHCP	 Anomaly
Jun 11 2021 23:56:06 FW15 : %ASA-5-502111: New group policy added: name: acl_int Type: internal	 Not anomaly
Jun 11 2021 23:56:06 FW20 : %ASA-4-400034: IPS:6050 DNS HINFO Request 45.175.62.46 to 150.12.24.193 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:56:06 FW15 : %ASA-4-400012: IPS:2002 ICMP Source Quench 116.76.252.88 to 91.254.50.158 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:56:07 FW00 : %ASA-5-718010: Sent HELLO response to 8.180.46.135	 Not anomaly
Jun 11 2021 23:56:07 FW19 : %ASA-7-713164: The Firewall Server has requested a list of active user sessions	 Not anomaly
Jun 11 2021 23:56:07 FW07 : %ASA-3-304003: URL Server 63.2.91.230 timed out URL https://www.obrien.biz/	 Not anomaly
Jun 11 2021 23:56:07 FW23 : %ASA-3-319002: Acknowledge for route update for IP address 13.19.129.72 not received.	 Not anomaly
Jun 11 2021 23:56:07 FW14 : %ASA-4-400016: IPS:2006 ICMP Parameter Problem on Datagram 161.29.136.34 to 7.15.133.84 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:56:08 FW02 : %ASA-4-400014: IPS:2004 ICMP Echo Request 82.64.13.192 to 197.7.127.251 on interface GigabitEthernet0/5	 Anomaly
Jun 11 2021 23:56:08 FW11 : %ASA-4-400012: IPS:2002 ICMP Source Quench 2.183.188.179 to 213.42.84.204 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:56:08 FW09 : %ASA-1-104500: (Secondary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:56:08 FW12 : %ASA-4-401001: Shuns cleared	 Not anomaly
Jun 11 2021 23:56:08 FW00 : %ASA-4-400017: IPS:2007 ICMP Timestamp Request 199.16.121.170 to 134.138.244.96 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:56:09 FW25 : %ASA-5-718010: Sent HELLO response to 79.179.123.174	 Not anomaly
Jun 11 2021 23:56:09 FW12 : %ASA-6-611101: User authentication succeeded: IP, 167.199.159.101 : Uname: user15	 Not anomaly
Jun 11 2021 23:56:09 FW09 : %ASA-4-400042: IPS:6150 ypserv (YP server daemon) Portmap Request 69.69.31.32 to 193.12.242.132 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:56:09 FW07 : %ASA-1-104500: (Primary) Switching to ACTIVE (cause: reason)	 Anomaly
